SST(°C) mean stdv
4.210000 0.241258 0.087588
4.220000 0.241596 0.087537
4.230000 0.241934 0.087556
4.240000 0.242272 0.087580
4.250000 0.242609 0.087590
4.260000 0.242947 0.087538
4.270000 0.243285 0.087487
4.280000 0.243622 0.087436
4.290000 0.243960 0.087385
4.300000 0.244297 0.087334
4.310000 0.244634 0.087298
4.320000 0.244972 0.087320
4.330000 0.245309 0.087343
4.340000 0.245646 0.087365
4.350000 0.245983 0.087387
4.360000 0.246320 0.087409
4.370000 0.246657 0.087431
4.380000 0.246994 0.087453
4.390000 0.247330 0.087475
4.400000 0.247667 0.087496
4.410000 0.248004 0.087517
4.420000 0.248340 0.087539
4.430000 0.248677 0.087560
4.440000 0.249013 0.087581
4.450000 0.249349 0.087601
4.460000 0.249685 0.087622
4.470000 0.250022 0.087642
4.480000 0.250358 0.087662
4.490000 0.250694 0.087682
4.500000 0.251029 0.087702
4.510000 0.251365 0.087721
4.520000 0.251701 0.087741
4.530000 0.252037 0.087760
4.540000 0.252372 0.087778
4.550000 0.252708 0.087797
4.560000 0.253043 0.087815
4.570000 0.253378 0.087833
4.580000 0.253714 0.087851
4.590000 0.254049 0.087868
4.600000 0.254384 0.087885
4.610000 0.254719 0.087902
4.620000 0.255054 0.087919
4.630000 0.255388 0.087935
4.640000 0.255723 0.087951
4.650000 0.256058 0.087896
4.660000 0.256392 0.087840
4.670000 0.256727 0.087848
4.680000 0.257061 0.087864
4.690000 0.257395 0.087878
4.700000 0.257730 0.087893
4.710000 0.258064 0.087907
4.720000 0.258398 0.087920
4.730000 0.258732 0.087933
4.740000 0.259065 0.087946
4.750000 0.259399 0.087959
4.760000 0.259733 0.087971
4.770000 0.260066 0.087982
4.780000 0.260400 0.087993
4.790000 0.260733 0.087977
4.800000 0.261066 0.087922
4.810000 0.261399 0.087867
4.820000 0.261733 0.087811
4.830000 0.262066 0.087756
4.840000 0.262398 0.087701
4.850000 0.262731 0.087707
4.860000 0.263064 0.087717
4.870000 0.263397 0.087727
4.880000 0.263729 0.087737
4.890000 0.264061 0.087746
4.900000 0.264394 0.087754
4.910000 0.264726 0.087762
4.920000 0.265058 0.087756
4.930000 0.265390 0.087756
4.940000 0.265722 0.087763
4.950000 0.266054 0.087719
4.960000 0.266385 0.087678
4.970000 0.266717 0.087684
4.980000 0.267049 0.087690
4.990000 0.267380 0.087696
5.000000 0.267711 0.087650
5.010000 0.268042 0.087596
5.020000 0.268374 0.087542
5.030000 0.268704 0.087488
5.040000 0.269035 0.087434
5.050000 0.269366 0.087380
5.060000 0.269697 0.087326
5.070000 0.270027 0.087272
5.080000 0.270358 0.087219
5.090000 0.270688 0.087165
5.100000 0.271018 0.087111
5.110000 0.271349 0.087058
5.120000 0.271679 0.087005
5.130000 0.272009 0.086951
5.140000 0.272338 0.086898
5.150000 0.272668 0.086890
5.160000 0.272998 0.086894
5.170000 0.273327 0.086890
5.180000 0.273657 0.086837
5.190000 0.273986 0.086793
5.200000 0.274315 0.086776
5.210000 0.274644 0.086781
5.220000 0.274973 0.086786
5.230000 0.275302 0.086791
5.240000 0.275630 0.086795
5.250000 0.275959 0.086799
5.260000 0.276288 0.086802
5.270000 0.276616 0.086805
5.280000 0.276944 0.086767
5.290000 0.277272 0.086751
5.300000 0.277600 0.086754
5.310000 0.277928 0.086756
5.320000 0.278256 0.086758
5.330000 0.278584 0.086759
5.340000 0.278911 0.086760
5.350000 0.279239 0.086761
5.360000 0.279566 0.086761
5.370000 0.279893 0.086761
5.380000 0.280220 0.086761
5.390000 0.280547 0.086761
5.400000 0.280874 0.086760
5.410000 0.281201 0.086758
5.420000 0.281528 0.086757
5.430000 0.281854 0.086755
5.440000 0.282181 0.086735
5.450000 0.282507 0.086685
